Proveedor,Texto breve material,CATEGORIA,CEDIS MOTOS,SUCURSAL,Centro,Almacén,IMEI/SERIE,Suma de Libre utilización,Suma de Valor libre util.,Suma de Bloqueado,Suma de Valor stock bloq.,Suma de Inspecc.de calidad,Suma de Valor en insp.cal.
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, CITRUS",STREET,CEDIS MID,MACROPAY MID CALLE 67,1012,10,MD2C19BX8TWJ50961,1,$29567.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, CITRUS",STREET,CEDIS MID,MACROPAY PROGRESO MOTOS CALLE 27,1934,10,MD2C19BX6TWH51403,1,$29567.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, CITRUS",STREET,CEDIS SALTILLO,MACROPAY ESCOBEDO MI TIENDA L16E,1525,10,MD2C19BXXTWH51453,1,$29567.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, CITRUS",STREET,CEDIS SAN LUIS,MACROPAY FRESNILLO CENTRO,1886,10,MD2C19BX0TWH51459,1,$29567.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, CITRUS",STREET,CEDIS SAN LUIS,MACROPAY SAN LUIS DE LA PAZ CENTRO,1855,10,MD2C19BX9TWH51458,1,$29567.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, CITRUS",STREET,CEDIS TAB PXGL,MACROPAY JUAN RODRIGUEZ VER CENTRO,1860,10,MD2C19BX2TWJ50955,1,$29567.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, CITRUS",STREET,CEDIS TAB PXGL,MACROPAY MATIAS ROMERO MOTOS CENTRO,1868,10,MD2C19BX7TWJ51065,1,$29567.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, CITRUS",STREET,CEDIS TAB PXGL,MACROPAY TUX 5 SUR ORIENTE,1939,10,MD2C19BX2TWJ51071,1,$29567.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, CITRUS",STREET,CEDIS TAB PXGL,MACROPAY TUXTEPEC 20 DE NOV,1134,10,MD2C19BX0TWJ51067,1,$29567.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, CITRUS",STREET,CEDIS TAB PXGL,MACROPAY TUXTLA TERAN 2 ORIENTE,1613,10,MD2C19BX5TWJ51064,1,$29567.33,0,$0,0,0
