Año,Mes,Suma de Total Precio
2026,enero,$17750425
2026,febrero,$49689423
2026,marzo,$49512002
2026,abril,$88271706
2026,mayo,$53447532
2026,junio,$57084538
2026,julio,$44705120
2026,agosto,$7542820
