Proveedor,Texto breve material,CEDIS MOTOS,SUCURSAL,Centro,Almacén,IMEI/SERIE,Suma de Libre utilización,Suma de Valor libre util.,Suma de Bloqueado,Suma de Valor stock bloq.,Suma de Inspecc.de calidad,Suma de Valor en insp.cal.
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, PURPURA",CEDIS CDMX,MACROPAY NAUCALPAN ING MILITARES,1790,10,MD2C19BX3TWJ51791,1,$29567.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, PURPURA",CEDIS CDMX,MACROPAY NEZAHUALCOYOTL SORIANA L15,1406,10,MD2C19BX2TWJ51202,1,$29567.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, PURPURA",CEDIS CDMX,MACROPAY NICOLAS ROMERO TOWNCENTER LB06,1432,10,MD2C19BX8TWJ54203,1,$29567.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, PURPURA",CEDIS CDMX,MACROPAY ORIZABA NORTE 4 ESQ OTE 3,1881,10,MD2C19BX7TWJ54211,1,$29567.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, PURPURA",CEDIS CDMX,MACROPAY PINOTEPA LAS FLORES L1,1456,10,MD2C19BXXTWJ54235,1,$29567.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, PURPURA",CEDIS CDMX,MACROPAY TECAMAC MACROPLAZA LF14,1830,10,MD2C19BX9TWJ54212,1,$29567.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, PURPURA",CEDIS CDMX,MACROPAY TOLUCA HIDALGO MOTOS,1747,10,MD2C19BX9TWJ54209,1,$29567.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, PURPURA",CEDIS CDMX,MACROPAY TOLUCA MIGUEL HIDALGO,1725,10,MD2C19BX3TWJ54240,1,$29567.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, PURPURA",CEDIS CDMX,MACROPAY VERACRUZ AV MATAMOROS NORTE,1721,10,MD2C19BX3TWJ51337,1,$29567.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, PURPURA",CEDIS CDMX,MACROPAY ZIHUATANEJO CENTRO,1853,10,MD2C19BX5TWJ54210,1,$29567.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, PURPURA",CEDIS GDL,MACROPAY MICH LAZARO CARDENAS CENTRO,1812,10,MD2C19BX8TWJ51205,1,$29567.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, PURPURA",CEDIS GDL,MACROPAY ZAPOTLANEJO PORFIRIO DIAZ,1517,10,MD2C19BXXTWJ51206,1,$29567.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, PURPURA",CEDIS MID,MACROPAY CHT MOTOS OTHON,1738,10,MD2C19BXXTWJ51786,1,$29567.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, PURPURA",CEDIS MID,MACROPAY VALLADOLID MOTOS CALLE 39,1748,10,MD2C19BX4TWJ54179,1,$29567.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, PURPURA",CEDIS SALTILLO,CIUDAD VICTORIA CENTRO,1944,10,MD2C19BX2TWJ51216,1,$29567.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, PURPURA",CEDIS SALTILLO,MACROPAY STA CATARINA SENDERO LC08,1924,10,MD2C19BX0TWJ51215,1,$29567.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, PURPURA",CEDIS SAN LUIS,CEDIS SAN LUIS,27,140,MD2C19BX7TWJ51177,1,$29567.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, PURPURA",CEDIS TAB PXGL,CEDIS MACROPAY TABASCO PXGL,14,140,MD2C19BX3TWJ54271,1,$29567.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, PURPURA",CEDIS TAB PXGL,CEDIS MACROPAY TABASCO PXGL,14,140,MD2C19BX5TWJ54174,1,$29567.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, PURPURA",CEDIS TAB PXGL,MACROPAY EMILIANO ZAPATA CORREGIDORA,1188,10,MD2C19BX7TWJ53933,1,$29567.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, PURPURA",CEDIS TAB PXGL,MACROPAY JUAN RODRIGUEZ VER CENTRO,1860,10,MD2C19BX1TWJ54270,1,$29567.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, PURPURA",CEDIS TAB PXGL,MACROPAY MINATITLAN MIGUEL HID MOTOS,1827,10,MD2C19BX0TWJ53935,1,$29567.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, ROJO",CEDIS CDMX,CENTRO LAGO DE GUADALUPE EDOMEX,1885,10,MD2C19BX5TWH52266,1,$29567.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, ROJO",CEDIS CDMX,MACROPAY ATIZAPAN VILLAS HACIENDA,1866,10,MD2C19BXXTWH52232,1,$29567.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, ROJO",CEDIS CDMX,MACROPAY CHIMALHUACAN PLAZA L48,1301,10,MD2C19BX1TWH52247,1,$29567.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, ROJO",CEDIS CDMX,MACROPAY CHIMALHUACAN PLAZA L48,1301,10,MD2C19BXXTWH52120,1,$29567.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, ROJO",CEDIS CDMX,MACROPAY CIUDAD CARDEL CENTRO,1906,10,MD2C19BX5TWH52249,1,$29567.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, ROJO",CEDIS CDMX,MACROPAY CUAU CENTELLA L37,1302,10,MD2C19BX1TWH52118,1,$29567.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, ROJO",CEDIS CDMX,MACROPAY CUAUTLA CAPITAN M ANZUREZ 93B,1710,10,MD2C19BX3TWH52248,1,$29567.33,0,$0,0,0
